Godina,Mesec,Prodajni prihod
2017,1,34734569
2017,2,36008774
2017,3,48991625
2017,4,49074281
2017,5,42102477
2017,6,44586951
2017,7,62102096
2017,8,74726858
2017,9,70769616
2017,10,72202987
2017,11,85082389
2017,12,107115396
2018,1,67018697
2018,2,74675334
2018,3,98062710
2018,4,62340352
2018,5,65967258
2018,6,60951018
2018,7,58763734
2018,8,59840784
2018,9,67348718
2018,10,79372253
2018,11,95029339
2018,12,96202578
2019,1,68278956
2019,2,74637241
2019,3,103429210
2019,4,95283918
2019,5,78978973
2019,6,78172327
2019,7,86494918
2019,8,77563807
2019,9,84549667
2019,10,91802892
2019,11,106199605
2019,12,115012535
2020,1,77327363
2020,2,101384978
2020,3,78525515
2020,4,38922060
